# hard_windows_v1
# video_path	start_frame	end_frame	peak_frame	score	notes
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (3)/iCloud Photos from Kasper Thrane/1760206149021.MP4	166	186	176	8.220507	track=1,boom=5.0,tip=5.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (3)/iCloud Photos from Kasper Thrane/1760206149021.MP4	188	208	198	40.053641	track=1,boom=35.1
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (3)/iCloud Photos from Kasper Thrane/1760206149021.MP4	209	229	219	10.072622	track=1,boom=9.0,tip=20.2
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (3)/iCloud Photos from Kasper Thrane/1760206262745.MP4	189	209	199	10.255809	track=1,boom=6.4
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (3)/iCloud Photos from Kasper Thrane/1760206262745.MP4	211	231	221	29.515536	track=1,boom=32.3
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (3)/iCloud Photos from Kasper Thrane/1760206262745.MP4	232	252	242	18.415774	track=2,boom=1.0,tip=15.8
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (3)/iCloud Photos from Kasper Thrane/IMG_8854.MP4	0	14	4	8.769828	track=1,boom=1.0,tip=2.2
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (3)/iCloud Photos from Kasper Thrane/IMG_8875.MP4	224	244	234	22.022019	track=2,tip=12.1
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (3)/iCloud Photos from Kasper Thrane/IMG_8875.MP4	264	284	274	10.161046	track=1,boom=2.0,tip=4.1
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (3)/iCloud Photos from Kasper Thrane/IMG_8875.MP4	288	308	298	9.761370	track=2,tip=3.2
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (3)/iCloud Photos from Kasper Thrane/IMG_8878.MP4	1728	1748	1738	9.026859	track=1,boom=14.0,tip=5.4
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (3)/iCloud Photos from Kasper Thrane/IMG_8880.MP4	753	773	763	10.454860	track=1,boom=40.4,tip=17.5
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (3)/iCloud Photos from Kasper Thrane/IMG_8880.MP4	1219	1239	1229	9.072018	track=1,boom=7.3,tip=2.2
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (3)/iCloud Photos from Kasper Thrane/IMG_8880.MP4	1501	1521	1511	12.972719	track=1,boom=11.0,tip=5.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8658.MP4	0	12	2	9.212676	track=2,boom=2.2,tip=6.7
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8658.MP4	436	456	446	8.345152	track=2,boom=5.4,tip=5.7
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8658.MP4	493	513	503	10.124629	track=1,boom=5.4
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8658.MP4	520	540	530	10.086033	track=2,boom=12.8,tip=13.9
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8658.MP4	542	562	552	30.045349	track=1,boom=14.4
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8658.MP4	564	584	574	16.503325	track=1,boom=10.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8658.MP4	623	643	633	17.147781	track=3,boom=31.1
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8658.MP4	644	664	654	9.108823	track=1,boom=18.1,tip=19.4
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8658.MP4	684	704	694	8.444965	track=3,boom=10.0,tip=5.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8659-1.MP4	331	351	341	8.520342	track=2,boom=3.2,tip=9.1
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8659-1.MP4	429	449	439	12.329926	track=2,boom=6.1,tip=19.2
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8659-1.MP4	490	510	500	8.923232	track=1,boom=3.2,tip=6.7
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8659-1.MP4	628	648	638	8.341159	track=2,boom=3.2,tip=5.4
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8659-1.MP4	685	705	695	9.284884	track=2,boom=5.4,tip=1.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8659-1.MP4	725	745	735	10.069055	track=2,boom=11.3
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8659.MP4	193	213	203	15.159474	track=1,boom=5.0,tip=2.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8659.MP4	1067	1087	1077	14.638535	track=1,boom=9.0,tip=39.3
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8659.MP4	1328	1348	1338	8.030914	track=3,boom=2.2,tip=7.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8659.MP4	1433	1453	1443	11.974631	track=3,boom=5.1,tip=13.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8659.MP4	1484	1504	1494	9.832070	track=1,boom=2.8,tip=6.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8659.MP4	1623	1643	1633	8.002223	track=1,boom=3.6,tip=5.8
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8659.MP4	1680	1700	1690	8.360020	track=1,boom=5.1,tip=6.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8659.MP4	1719	1739	1729	8.541571	track=1,boom=8.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8659.MP4	1740	1760	1750	64.715296	track=1,boom=69.8,tip=24.3
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8659.MP4	1762	1782	1772	22.126444	track=1,boom=5.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8659.MP4	1798	1818	1808	28.799911	track=1,boom=2.2,tip=9.9
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8659.MP4	1819	1839	1829	10.443607	track=1,boom=6.1,tip=22.4
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8659.MP4	1842	1862	1852	11.511802	track=1,boom=13.2
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8659.MP4	1876	1896	1886	11.756065	track=1,boom=9.5
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8660.MP4	2064	2084	2074	8.613917	track=4,boom=2.8,tip=4.1
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8660.MP4	2314	2334	2324	9.032787	track=3,boom=3.2,tip=13.6
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8660.MP4	2342	2362	2352	23.993687	track=3,boom=9.5,tip=13.5
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8660.MP4	2364	2384	2374	24.571376	track=3,boom=7.3,tip=13.9
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8660.MP4	2403	2423	2413	12.796314	track=4,boom=7.3,tip=10.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8660.MP4	2430	2450	2440	27.253208	track=4,tip=50.2
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8660.MP4	2463	2483	2473	33.942149	track=4,boom=13.5,tip=16.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8660.MP4	2510	2530	2520	13.958389	track=4,boom=8.6
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8660.MP4	2539	2559	2549	9.719970	track=4,boom=6.4
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8660.MP4	2571	2591	2581	11.348617	track=4,boom=11.2
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8663.MP4	3412	3432	3422	8.298760	track=2,boom=1.0,tip=11.7
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8663.MP4	3470	3490	3480	11.471617	track=3,boom=1.4,tip=23.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8663.MP4	3838	3858	3848	10.403918	track=3,boom=5.8,tip=16.3
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8663.MP4	3865	3885	3875	61.571828	track=3,boom=4.5,tip=3.6
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8663.MP4	4007	4027	4017	11.514723	track=3,boom=3.2,tip=11.7
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8663.MP4	4077	4097	4087	10.009103	track=3,boom=2.2,tip=4.5
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8663.MP4	4105	4125	4115	28.109632	track=3,boom=10.2,tip=15.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8663.MP4	4130	4150	4140	20.409230	track=3,boom=6.1,tip=1.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8663.MP4	4162	4182	4172	16.860651	track=4,boom=1.0,tip=22.1
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8663.MP4	4219	4239	4229	9.280367	track=4,boom=4.5,tip=5.4
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8663.MP4	4244	4264	4254	19.753843	track=4,boom=13.5,tip=17.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8663.MP4	4270	4290	4280	14.964748	track=4,boom=6.7
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8663.MP4	4305	4325	4315	29.091494	track=4,boom=16.0,tip=9.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8663.MP4	4328	4348	4338	8.814432	track=4,boom=3.6,tip=7.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8663.MP4	4355	4375	4365	14.758506	track=4,boom=19.6,tip=16.5
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8663.MP4	4419	4439	4429	9.327060	track=4,boom=5.0,tip=18.4
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8675.MP4	101	121	111	8.395927	track=1,boom=2.8,tip=6.1
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8675.MP4	887	907	897	8.935761	track=3,boom=2.2,tip=13.9
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8675.MP4	1179	1199	1189	10.195782	track=2,boom=2.2,tip=4.2
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8676.MP4	832	852	842	11.230604	track=3,boom=17.1,tip=8.5
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8676.MP4	863	883	873	8.009900	track=3,boom=11.0,tip=3.2
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8678.MP4	791	811	801	8.514883	track=1,boom=3.0,tip=2.8
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8678.MP4	974	994	984	11.619845	track=1,boom=3.0,tip=5.1
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8694.MP4	1015	1035	1025	9.348687	track=1,boom=2.0,tip=7.1
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8694.MP4	1152	1172	1162	14.594572	track=1,boom=25.1,tip=5.8
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8696.MP4	1190	1210	1200	18.674659	track=1,boom=1.4,tip=1.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8700.MP4	205	225	215	9.430851	track=1,boom=4.5,tip=15.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (4)/iCloud Photos from Kasper Thrane/IMG_8700.MP4	418	438	428	9.971264	track=1,boom=4.2,tip=9.1
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (5)/iCloud Photos from Kasper Thrane/1757096198637.MP4	170	190	180	34.337335	track=2,tip=31.4
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (5)/iCloud Photos from Kasper Thrane/1757096198637.MP4	200	220	210	14.211496	track=2,tip=8.6
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (5)/iCloud Photos from Kasper Thrane/1757096198637.MP4	240	260	250	8.157374	track=1,boom=1.4,tip=3.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (5)/iCloud Photos from Kasper Thrane/1757096198637.MP4	269	289	279	18.184007	track=2,tip=6.4
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (5)/iCloud Photos from Kasper Thrane/1757096198637.MP4	299	319	309	12.436839	track=1,boom=1.0,tip=4.1
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (5)/iCloud Photos from Kasper Thrane/1757096198637.MP4	339	359	349	21.010104	track=2,tip=24.2
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (5)/iCloud Photos from Kasper Thrane/1757096198637.MP4	364	384	374	12.218162	track=2,tip=7.1
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (5)/iCloud Photos from Kasper Thrane/1757096198637.MP4	393	413	403	15.926831	track=2,tip=6.7
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (5)/iCloud Photos from Kasper Thrane/1757096198637.MP4	422	442	432	11.479640	track=1,boom=3.0,tip=5.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (5)/iCloud Photos from Kasper Thrane/1757096198637.MP4	2103	2123	2113	81.746560	track=1,tip=44.8
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (5)/iCloud Photos from Kasper Thrane/1757096198637.MP4	2136	2156	2146	11.908883	track=1,boom=28.3
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (5)/iCloud Photos from Kasper Thrane/P1030679.MP4	0	12	2	17.128250	track=1,boom=13.2,tip=5.4
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (5)/iCloud Photos from Kasper Thrane/P1030679.MP4	17	37	27	11.505078	track=1,boom=18.0,tip=20.6
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (5)/iCloud Photos from Kasper Thrane/P1030679.MP4	38	58	48	16.949868	track=1,boom=4.2,tip=7.1
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (5)/iCloud Photos from Kasper Thrane/P1030679.MP4	66	86	76	14.022563	track=1,boom=9.1,tip=13.6
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (5)/iCloud Photos from Kasper Thrane/P1030679.MP4	101	121	111	14.404285	track=1,boom=16.0,tip=14.6
